AÑO,UBICACIÓN,SECTOR,TAMAÑO,CANTIDAD
2023,Provincia de Valencia,"R. Actividades artísticas, recreativas y de entretenimiento",1 a 9 asalariados,2285
2023,Provincia de Valencia,"R. Actividades artísticas, recreativas y de entretenimiento",10 a 49 asalariados,302
2023,Provincia de Valencia,"R. Actividades artísticas, recreativas y de entretenimiento",50 o más asalariados ,37
2023,Provincia de Valencia,"R. Actividades artísticas, recreativas y de entretenimiento",Sin asalariados ,3617
2023,Provincia de Valencia,"R. Actividades artísticas, recreativas y de entretenimiento",Total,6241
2023,Provincia de Valencia,S. Otros servicios,1 a 9 asalariados,4968
2023,Provincia de Valencia,S. Otros servicios,10 a 49 asalariados,191
2023,Provincia de Valencia,S. Otros servicios,50 o más asalariados ,28
2023,Provincia de Valencia,S. Otros servicios,Sin asalariados ,7487
2023,Provincia de Valencia,S. Otros servicios,Total,12674
2023,Provincia de Valencia,Total,1 a 9 asalariados,74649
2023,Provincia de Valencia,Total,10 a 49 asalariados,7328
2023,Provincia de Valencia,Total,50 o más asalariados ,1525
2023,Provincia de Valencia,Total,Sin asalariados ,93821
2023,Provincia de Valencia,Total,Total,177323
